"The Order State ","The Order State "
"Message  Manager","Message  Manager"
"Message Manager","Message Manager"
"ExternalMessages","ExternalMessages"
"Manager Message","Manager Message"
"Message","Message"
"Edit Item","Edit Item"
"Message Description","Message Description"
"Item does not exist.","Item does not exist."
"New Item","New Item"
"Message was successfully saved","Message was successfully saved"
"Item was successfully deleted","Item was successfully deleted"
"Item(s) was successfully removed","Item(s) was successfully removed"
"Template  Manager","Template  Manager"
"Template Manager","Template Manager"
"Manager Template","Manager Template"
"Template","Template"
"Template Description","Template Description"
"Template was successfully saved","Template was successfully saved"
"ID","ID"
"Title","Title"
"Enabled","Enabled"
"Disabled","Disabled"
"Rule","Rule"
"Remove Template","Remove Template"
"Are you sure?","Are you sure?"
"Rule 1","Rule 1"
"Rule 2","Rule 2"
"Item Information","Item Information"
"Item information","Item information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item ","Edit Item "
"Add Item","Add Item"
"Recipient","Recipient"
"Type","Type"
"Created At","Created At"
"Sent At","Sent At"
"CSV","CSV"
"Excel","Excel"
"Remove Message","Remove Message"
"Add New Template","Add New Template"
"Add New Item","Add New Item"
